Country,Dementia (<65),Dementia (65+),Alcohol disorders (<65),Alcohol disorders (65+),Drug dependence (<65),Drug dependence (65+)
EU,0.2,160.3,2.6,7.4,0.4,0.2
Belgium,0.4,163,2.4,6.7,0.5,0.4
Bulgaria,0,3.2,0.4,1.2,0,0
Czechia,0.3,101.6,1.5,4.2,0.1,0.1
Denmark,0.5,287.2,4.7,23.2,0.3,0.5
Germany,0.3,261.4,3.7,12.3,0.9,0.3
Estonia,0,42.4,4.6,12.6,0.1,0
Ireland,0.3,260.8,0.3,1.2,0.1,0
Greece,0.4,100.2,0.4,0.7,0.3,0.1
Spain,0.3,170.4,1.3,1.3,0.1,0.1
France,0.1,101.7,3.2,7.4,0.5,0.1
Croatia,0.1,140.8,4.8,18.7,1,0.1
Italy,0.1,138,1,1,0.3,0.1
Cyprus,0,248.3,0.3,1.3,0.1,0
Latvia,1.1,132.8,9.1,22.7,0.3,0.3
Lithuania,0,70.8,0.7,0.7,0.1,0.2
Luxembourg,0.4,272.1,1.9,10.6,0.4,1
Hungary,0.8,197.7,1.1,11.2,0.7,0.2
Malta,0.5,396,0.6,2.2,1.3,0
Netherlands,0.4,343.3,3,7.3,0.5,0.4
Austria,0.2,251.9,7.4,12.1,0.6,1.2
Poland,0.1,140.7,1.2,7.4,0.3,0.1
Portugal,0.5,226.9,0.6,2.2,0.2,0.1
Romania,0,0.1,1.2,2.7,0.1,0
Slovenia,0,3.1,8.2,46.3,1.5,0.4
Slovakia,0,44.6,2.8,4.3,0,0.1
Finland,0.1,214.3,1.7,11.9,1.3,0
Sweden,0.2,251.4,1.4,10.2,0.1,0.1
Iceland,0,180.7,1.1,7.4,0.3,0
Liechtenstein,0,210,5.4,0,5.9,0
Norway,0.1,304.7,1.1,8.9,0.3,0.4
Switzerland,0.3,259.6,1.3,6.7,1,0.7
Serbia,0.3,70,2.6,6.5,0.6,0.9
Turkey,0,3.6,0,0,0,0
